"M"	"bottomly"	"patel"	"montastier"	"hess"
"knn5"	1	0.860539215686275	0.77037037037037	0.770588235294118
"knn9"	1	0.86531862745098	0.781481481481481	0.731617647058823
"logistic"	1	0.741454991087344	0.744444444444444	0.619117647058824
"l1"	1	0.823250891265597	0.825925925925926	0.731617647058823
"l2"	1	0.835606060606061	0.840740740740741	0.720833333333333
"lda"	1	0.847537878787879	0.825925925925926	0.625
"dlda"	1	0.859436274509804	0.762962962962963	0.708823529411765
"rf"	1	0.871557486631016	0.781481481481481	0.745588235294118
"ada"	0.52	0.841666666666667	0.837037037037037	0.780555555555556
